NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_2G,ANO_IN_GRAD,TP_SEMESTRE,IN_MATUT,IN_VESPER,IN_NOTURNO,ID_STATUS,AMOSTRA,IN_GRAD,NU_ITEM_OFG,NU_ITEM_OFG_Z,NU_ITEM_OFG_X,NU_ITEM_OFG_N,NU_ITEM_OCE,NU_ITEM_OCE_Z,NU_ITEM_OCE_X,NU_ITEM_OCE_N,DS_VT_GAB_OFG_ORIG,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_ORIG,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68
2016,1,10002,10028,12,12,1,5103403,51,5,26,M,2006,2011,2,1,1,1,1,1,0,8,0,0,0,27,0,5,0,CAEBCDAC,CAEBCDAC,DBBEBAECACDACECDADBDEEEDADB,DBBEXAECXCDAXECDAXBDEEEDADX,CAEABDAE,11100110,DBBEBABCCCEDDECEBDBDCDDDDDB,111191019100911009110001019,555,555,555,555,555,555,555,555,555,555,555,57.2,66.3,62.5,72,80,80,80,64,80,60,54.2,59.1,26.7,10,20,50,B,C,C,A,B,C,A,C,C,A,D,A,E,E,A,A,G,B,A,A,A,C,A,A,41,B,A,B,G,A,C,D,E,B,F,6,4,3,3,2,6,5,3,6,5,5,3,5,1,3,5,6,3,5,6,5,3,5,4,6,6,6,6,5,1,6,2,4,4,5,5,5,6,4,1,1,4
2016,1,10002,10028,5,37,1,5103403,51,5,22,F,2011,2012,2,1,1,1,1,1,0,8,0,0,0,27,0,4,0,CAEBCDAC,CAEBCDAC,AEEECCCBEADEBDEACDDBDDCABBD,AEEECCCBEXDEBDEAXDXBDXCABBD,EAEABDAE,01100110,DAAECCCBEBDBBDEDEDCBCDCEBAB,000111111910111091910910100,555,555,555,555,555,555,333,555,555,555,555,51.7,41,50,27.5,0,0,0,55,75,50,55.3,60.9,23.3,40,0,30,C,D,D,B,B,C,B,D,D,A,A,A,F,F,F,A,E,B,A,A,A,C,A,A,17,B,A,B,G,A,A,E,C,E,F,6,6,4,6,4,4,5,3,5,6,4,5,5,4,4,6,6,6,6,8,5,5,6,6,6,8,8,4,5,5,5,6,5,5,4,4,4,1,1,4,4,3
2016,2,10002,10028,17,135,1,5300108,53,5,22,M,2011,2012,2,1,1,0,1,1,0,8,0,0,0,27,2,1,0,CAEBCDAC,CAEBCDAC,ABECBCEDZACDZDCAABBBEDCEDED,ABEXBCEDZACDZDCAABBBEDCEDED,,,,,222,222,222,222,222,222,222,222,222,222,222,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,A,A,A,D,D,A,E,D,B,A,A,A,C,E,D,53,B,A,B,C,B,C,C,E,C,A,6,5,3,5,4,4,4,4,4,5,5,3,4,5,2,4,5,6,6,5,4,3,3,6,6,4,3,3,3,3,3,3,3,3,2,2,2,5,3,3,2,2
2016,2,10002,10028,12,140,1,5300108,53,5,24,F,2010,2011,2,1,0,0,1,1,0,8,0,0,0,27,0,5,0,CAEBCDAC,CAEBCDAC,DBBEBAECACDACECDADBDEEEDADB,DBBEXAECXCDAXECDAXBDEEEDADX,CADBBEAE,11010010,DBBEAAECECCADDCDADBDEEEDADE,111191119101901119111111119,555,555,555,555,555,555,555,555,555,555,555,77.8,60.6,50,76.5,85,65,90,68,60,70,83.5,90.9,41.7,20,45,60,C,B,C,C,B,B,D,D,D,A,D,A,E,E,B,C,E,B,A,A,A,D,A,A,53,B,A,B,C,A,A,D,A,E,F,5,4,4,5,5,6,5,5,5,4,5,4,5,4,5,6,6,5,5,4,5,5,4,6,7,3,2,5,5,4,5,5,4,5,4,5,4,4,3,4,3,4
2016,2,10002,10028,6,141,1,5300108,53,5,27,F,2007,2012,2,1,1,0,1,1,0,8,0,0,0,27,0,4,0,CAEBCDAC,CAEBCDAC,BDCDAEDBCCCECEEBAADAEADDABC,BDCXXEDBXCCECEEBAAXAEADDABC,CAEBADAE,11110110,BDCBAEDBECCECEDBAAEAEADDABE,111991119111110111911111110,555,555,555,555,555,555,555,555,555,555,555,84.3,79,75,85,86,70,90,84,60,90,86.1,91.3,56.7,50,70,50,C,D,C,B,B,C,A,D,D,B,A,A,E,E,C,B,F,B,A,A,A,B,A,A,42,B,A,B,K,A,E,D,A,H,F,4,2,6,6,6,6,6,6,6,6,4,6,6,2,6,6,6,6,6,2,6,6,6,6,6,2,2,6,6,4,6,6,6,6,5,4,4,5,8,6,4,6
2016,2,10002,10028,28,144,1,5300108,53,5,24,F,2010,2011,2,1,1,0,1,1,0,8,0,0,0,27,0,4,0,CAEBCDAC,CAEBCDAC,DBADEBBCBEEBCEECCAAABEADCAD,DBADEBBCBEEBXXECCXAAXEADCAD,EAEDCDAE,01101110,DBAAEBACCEEEAEDCCBADDEDDEED,111011010110990119109101001,555,555,555,555,555,555,555,555,555,555,555,66.1,68.5,62.5,77.5,77,65,80,78,70,80,65.3,60.9,90,90,85,95,C,C,A,D,B,B,A,D,D,A,A,A,E,F,B,D,D,B,A,A,A,B,B,A,53,B,A,A,H,A,B,D,E,H,A,6,6,6,5,5,6,4,5,5,5,3,4,5,2,3,5,5,4,5,4,4,3,4,5,5,3,4,3,5,5,5,5,5,4,4,4,4,6,8,5,4,4
2016,3,10002,10028,23,302,1,2800308,28,2,23,F,2009,2012,2,1,1,0,1,1,0,8,0,0,0,27,0,5,0,CAEBCDAC,CAEBCDAC,DBCBEEAEBDACACAADCDECBDDCBE,DBCXEXAEBDACAXAADCDXCBDXCBE,CAEBADCC,11110101,DBEAEDAEBDBCCDAADCDECCDCCBE,110919111101091111191019111,555,555,555,555,555,555,555,555,555,555,555,77.9,73.2,75,70.5,75,55,80,66,90,60,79.5,81.8,66.7,70,40,90,D,D,C,B,B,B,B,D,D,A,D,A,C,F,B,C,C,C,A,A,A,E,A,A,28,B,A,B,C,A,B,E,E,H,F,5,5,4,5,5,5,4,4,5,5,5,5,5,4,4,5,6,6,5,4,5,4,4,4,5,4,5,4,4,4,5,6,1,2,3,3,3,4,4,4,4,3
2016,3,10002,10028,6,304,1,2800308,28,2,23,F,2010,2013,2,1,1,0,1,1,0,8,0,0,0,27,0,4,0,CAEBCDAC,CAEBCDAC,BDCDAEDBCCCECEEBAADAEADDABC,BDCXXEDBXCCECEEBAAXAEADDABC,EBEEBDEE,00100100,DDCBDBDCEBCAEEEBCBECEADEABE,011990109010011100901110110,555,555,555,555,555,555,555,555,555,555,555,50.7,43.6,25,71.5,88,80,90,55,75,50,53.1,52.2,58.3,70,35,70,D,C,A,C,B,C,B,D,D,A,A,A,E,E,B,C,E,B,A,A,A,A,A,A,28,B,A,B,C,A,B,C,C,H,F,4,5,4,4,5,2,2,7,4,6,3,3,3,2,2,6,2,2,1,3,5,4,4,4,5,2,1,4,2,2,4,5,1,1,1,1,1,2,1,2,2,2
2016,4,10002,10028,38,377,1,1302603,13,1,21,F,2012,2013,2,0,1,0,1,1,0,8,0,0,0,27,4,4,0,CAEBCDAC,CAEBCDAC,DCDEZBBCBZAECBZBACAEDZECCEA,DXXEZBBCBZAECBZBACAEDZECXEX,,,,,222,222,222,222,222,222,222,222,222,222,222,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,A,D,A,E,C,B,D,B,A,A,H,E,C,A,E,13,A,A,B,C,A,E,E,E,G,A,6,6,6,6,6,6,6,6,5,6,5,6,6,4,5,6,6,6,4,4,6,6,6,6,7,1,1,6,5,5,5,5,2,3,3,3,2,2,1,6,4,2
2016,4,10002,10028,19,390,1,1302603,13,1,27,M,2007,2010,2,1,1,0,1,1,0,8,0,0,0,27,0,8,0,CAEBCDAC,CAEBCDAC,CDAABAEEAEBBDADDBBDCCBCECCB,XDAXBXEEXXBBDADXBBDCCXXECCB,ABEBCDBC,00111101,CDADBDEDBABBCDBDEBDCCDABAAC,911919109911000901111990000,555,555,555,555,555,555,555,555,555,555,555,59,71.7,62.5,85.5,93,65,100,78,70,80,54.7,52.6,66.7,80,50,70,B,C,C,B,B,D,B,D,D,A,D,A,E,E,B,F,B,B,A,A,A,B,A,A,13,A,A,A,B,A,C,C,A,E,A,4,5,2,2,3,2,2,2,2,3,3,3,3,2,3,3,3,3,3,2,3,3,3,5,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
